Q/L/F,Performance(Q),Performance(L),Performance(F)
982,,78.128037%,
984,48.359912%,78.451549%,45.720405%
986,,77.871263%,
988,,78.214047%,
990,47.903943%,78.613592%,
992,,77.997182%,45.770436%
994,,78.823093%,
996,48.086836%,78.588298%,
998,,78.692261%,
1000,,79.468739%,45.725983%
1002,48.319834%,78.787255%,
1004,,78.403643%,
1006,,78.731785%,
1008,48.388204%,78.696804%,45.844474%
1010,,78.899147%,
1012,,79.059725%,
1014,47.680156%,78.905769%,
1016,,78.453764%,45.669696%
1018,,79.164635%,
1020,48.241251%,78.454466%,
1022,,78.170508%,
1024,,77.171482%,45.558271%
1026,48.156297%,78.926456%,
1028,,79.040882%,
1030,,78.283685%,
1032,47.588229%,78.282300%,45.632641%
1034,,78.831102%,
1036,,78.718264%,
1038,48.020623%,79.314156%,
1040,,80.031743%,45.557330%
1042,,79.382384%,
1044,48.613231%,79.509669%,
1046,,79.341977%,
1048,,80.052038%,45.738874%
1050,47.696362%,79.395964%,
1052,,78.820756%,
1054,,79.389362%,
1056,48.412022%,79.679732%,45.567649%
1058,,79.549690%,
1060,,80.220358%,
1062,48.557676%,79.062781%,
1064,,79.475617%,45.625212%
1066,,79.087281%,
1068,47.687906%,79.567774%,
1070,,79.635199%,
1072,,79.878334%,45.370129%
1074,48.320265%,79.921283%,
1076,,79.867610%,
1078,,79.854451%,
1080,48.189285%,80.349553%,45.578334%
1082,,79.803396%,
1084,,79.995215%,
1086,47.951651%,79.251318%,
1088,,79.207155%,45.604556%
1090,,79.555409%,
1092,48.560480%,80.456632%,
1094,,79.566462%,
1096,,80.565789%,45.310850%
1098,48.360037%,80.550437%,
1100,,79.814692%,
1102,,79.644228%,
1104,48.233426%,80.434640%,45.496678%
1106,,80.176871%,
1108,,80.344152%,
1110,48.490785%,80.184773%,
1112,,79.874018%,45.586250%
1114,,79.873741%,
1116,48.698860%,80.234275%,
1118,,80.636225%,
1120,,80.243709%,45.418292%
1122,48.505584%,80.739108%,
1124,,79.400051%,
1126,,80.383770%,
1128,48.450763%,81.063714%,45.444520%
1130,,80.818579%,
1132,,81.008242%,
1134,47.479651%,79.744207%,
1136,,80.656812%,45.259933%
1138,,81.009617%,
1140,47.839643%,80.608152%,
1142,,80.570147%,
1144,,80.415168%,45.531330%
1146,48.537169%,80.155187%,
1148,,80.013068%,
1150,,79.561493%,
1152,48.097051%,78.914561%,45.463087%
1154,,80.112322%,
1156,,80.490883%,
1158,48.645881%,80.873422%,
1160,,80.743429%,45.369059%
1162,,81.285831%,
1164,48.015256%,81.356376%,
1166,,81.208762%,
1168,,81.311335%,45.270804%
1170,48.374847%,80.930736%,
1172,,80.969315%,
1174,,80.924859%,
1176,47.978944%,81.217606%,45.094861%
1178,,80.297206%,
1180,,80.851229%,
1182,47.987402%,79.236679%,
1184,,80.275704%,45.140347%
1186,,80.708475%,
1188,48.492483%,81.280104%,
1190,,80.957813%,
1192,,80.988846%,44.848072%
1194,47.835640%,80.715993%,
1196,,81.795146%,
1198,,81.193461%,
1200,48.147452%,81.457160%,44.821785%
1202,,80.617247%,
1204,,80.348009%,
1206,47.803605%,80.721836%,
1208,,80.934317%,45.266045%
1210,,81.146519%,
1212,48.091641%,80.746327%,
1214,,80.205324%,
1216,,80.174000%,44.766090%
1218,47.872158%,81.407494%,
1220,,81.803008%,
1222,,81.140099%,
1224,48.377318%,81.150818%,45.401153%
1226,,81.183337%,
1228,,81.309464%,
1230,48.047095%,81.432254%,
1232,,81.119446%,45.069263%
1234,,80.518380%,
1236,47.544765%,81.782478%,
1238,,81.675422%,
1240,,82.083691%,45.110132%
1242,47.711044%,81.679565%,
1244,,82.015887%,
1246,,81.179662%,
1248,48.490791%,81.704687%,45.086657%
1250,,82.067380%,
1252,,81.982495%,
1254,47.860883%,81.319661%,
1256,,82.123897%,45.002862%
1258,,82.078520%,
1260,48.077124%,81.986630%,
1262,,81.767195%,
1264,,81.643446%,45.152621%
1266,48.584296%,81.565596%,
1268,,81.378997%,
1270,,81.940027%,
1272,48.246477%,82.095136%,45.155468%
1274,,81.022620%,
1276,,82.216495%,
1278,48.556790%,80.735824%,
1280,,80.722383%,45.531142%
1282,,82.223496%,
1284,47.916664%,82.264383%,
1286,,82.265695%,
1288,,82.398114%,44.836049%
1290,48.412846%,82.649623%,
1292,,82.025948%,
1294,,82.578484%,
1296,48.360253%,81.821662%,44.941696%
1298,,82.607642%,
1300,,82.383477%,
1302,48.601854%,82.189977%,
1304,,82.214813%,44.854664%
1306,,82.374181%,
1308,47.964401%,82.088545%,
1310,,81.955234%,
1312,,82.053487%,44.552124%
1314,48.426531%,82.093183%,
1316,,82.196019%,
1318,,82.878676%,
1320,47.967823%,82.700492%,44.980942%
1322,,81.716611%,
1324,,82.664631%,
1326,48.001867%,82.984606%,
1328,,82.713049%,44.757970%
1330,,82.632152%,
1332,48.185529%,82.742355%,
1334,,82.683164%,
1336,,82.668621%,44.888570%
1338,48.196372%,82.541790%,
1340,,81.546977%,
1342,,81.632934%,
1344,48.159299%,80.932670%,44.889648%
1346,,82.052161%,
1348,,81.725266%,
1350,48.467527%,81.782992%,
1352,,82.629242%,44.874984%
1354,,82.564614%,
1356,48.349972%,83.044605%,
1358,,82.218991%,
1360,,83.099128%,44.895428%
1362,48.190300%,82.125930%,
1364,,83.119702%,
1366,,82.935578%,
1368,47.523704%,83.341633%,44.844806%
1370,,82.951015%,
1372,,83.112999%,
1374,48.437611%,83.215645%,
1376,,82.677557%,44.636942%
1378,,83.126284%,
1380,47.925735%,83.189349%,
1382,,82.810664%,
1384,,82.813041%,44.905350%
1386,47.386688%,83.036742%,
1388,,83.045009%,
1390,,82.871001%,
1392,48.094940%,83.056006%,44.796189%
1394,,83.255286%,
1396,,83.106011%,
1398,47.817909%,83.703177%,
1400,,83.798621%,44.949993%
1402,,83.641366%,
1404,47.948949%,83.553895%,
1406,,82.701559%,
1408,,81.630398%,44.663132%
1410,48.417407%,83.396436%,
1412,,83.554834%,
1414,,82.922530%,
1416,48.304510%,83.938653%,44.945860%
1418,,83.967383%,
1420,,83.586551%,
1422,47.986475%,82.806295%,
1424,,83.784247%,44.331592%
1426,,82.760935%,
1428,48.412838%,83.369223%,
1430,,83.235044%,
1432,,83.913148%,44.749563%
1434,48.633127%,83.623017%,
1436,,83.970326%,
1438,,82.989608%,
1440,48.332791%,83.240142%,44.583647%
1442,,83.102476%,
1444,,83.931996%,
1446,48.316876%,83.774676%,
1448,,84.265131%,44.843049%
1450,,84.001475%,
1452,48.525595%,84.258439%,
1454,,84.121270%,
1456,,84.326932%,44.712684%
1458,48.010681%,83.858006%,
1460,,84.214131%,
1462,,83.909352%,
1464,48.318514%,83.834308%,44.859236%
1466,,83.817968%,
1468,,83.692269%,
1470,48.359924%,82.889138%,
1472,,82.280559%,44.639178%
1474,,83.284234%,
1476,48.410850%,83.713557%,
1478,,84.342396%,
1480,,84.497587%,44.888256%
1482,48.348083%,84.359668%,
1484,,84.045513%,
1486,,84.384341%,
1488,48.493150%,84.301145%,44.660062%
1490,,84.102140%,
1492,,84.338875%,
1494,48.271771%,84.141285%,
1496,,84.467252%,44.709775%
1498,,84.134778%,
1500,48.423570%,83.867699%,
1502,,83.844334%,
1504,,83.529045%,44.686653%
1506,47.969019%,83.866094%,
1508,,84.082824%,
1510,,84.031083%,
1512,48.063835%,84.221520%,44.623726%
1514,,83.882065%,
1516,,84.497646%,
1518,48.658202%,84.410957%,
1520,,83.887289%,44.364914%
1522,,84.353048%,
1524,47.934229%,83.664302%,
1526,,84.437590%,
1528,,84.619952%,44.257784%
1530,47.526482%,84.394059%,
1532,,84.338285%,
1534,,83.785656%,
1536,48.120787%,82.839693%,44.928728%
1538,,84.289353%,
1540,,84.702920%,
1542,48.300498%,83.708562%,
1544,,84.391941%,44.574344%
1546,,84.376952%,
1548,48.387655%,84.794240%,
1550,,84.454507%,
1552,,84.163254%,44.265343%
1554,48.078632%,84.510884%,
1556,,84.529506%,
1558,,84.040319%,
1560,48.073106%,85.281809%,44.505527%
1562,,84.720259%,
1564,,84.845993%,
1566,48.005345%,84.628814%,
1568,,84.642911%,44.712123%
1570,,85.009719%,
1572,47.627597%,85.283241%,
1574,,85.192023%,
1576,,85.246248%,44.427340%
1578,48.341726%,85.066445%,
1580,,85.030658%,
1582,,84.866398%,
1584,47.841787%,84.756252%,44.338601%
1586,,84.926106%,
1588,,84.686717%,
1590,47.717186%,84.950167%,
1592,,84.571245%,44.390408%
1594,,84.840559%,
1596,48.597694%,85.090661%,
1598,,84.493684%,
1600,,83.735683%,44.508556%
1602,48.699528%,84.310589%,
1604,,85.424981%,
1606,,84.582005%,
1608,48.515263%,85.437518%,44.645618%
1610,,85.457583%,
1612,,85.446458%,
1614,48.277506%,85.110099%,
1616,,85.292209%,44.368405%
1618,,85.488715%,
1620,48.015074%,85.554834%,
1622,,85.146103%,
1624,,85.423105%,44.463577%
1626,48.226632%,84.916238%,
1628,,84.928125%,
1630,,84.797798%,
1632,48.407282%,84.169216%,44.302023%
1634,,85.141192%,
1636,,85.175711%,
1638,48.474493%,85.514665%,
1640,,85.777870%,44.412474%
1642,,85.330865%,
1644,48.076683%,85.789722%,
1646,,85.338432%,
1648,,85.479516%,44.341001%
1650,47.713920%,84.951224%,
1652,,85.577452%,
1654,,85.712927%,
1656,48.394548%,85.569217%,44.411352%
1658,,85.679479%,
1660,,85.039792%,
1662,47.630386%,84.410464%,
1664,,83.266760%,44.132284%
1666,,84.964313%,
1668,48.415472%,84.889715%,
1670,,85.225313%,
1672,,85.447979%,44.405472%
1674,48.185865%,85.311080%,
1676,,85.707152%,
1678,,85.588535%,
1680,48.584409%,85.905568%,44.461743%
1682,,85.631840%,
1684,,85.771870%,
